epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,514.893,0.33227,0.87122,1,0.27264,0.00332883,0.00332883,0.00332883
2,1012.98,0.1691,0.92915,1,0.17343,0.00644232,0.00644232,0.00644232
3,1515.91,0.14285,0.94733,1,0.14339,0.0093358,0.0093358,0.0093358
4,2017.11,0.15021,0.95736,1,0.11679,0.00901,0.00901,0.00901
5,2494.09,0.11083,0.96143,1,0.1074,0.00868,0.00868,0.00868
6,2972.89,0.08803,0.96296,1,0.10875,0.00835,0.00835,0.00835
7,3447.42,0.07951,0.96432,1,0.10468,0.00802,0.00802,0.00802
8,3933.81,0.0664,0.96959,1,0.09973,0.00769,0.00769,0.00769
9,4409.37,0.05968,0.95073,1,0.15887,0.00736,0.00736,0.00736
10,4903.85,0.05776,0.96602,1,0.12034,0.00703,0.00703,0.00703
11,5387.32,0.04842,0.95243,1,0.18277,0.0067,0.0067,0.0067
12,5875.49,0.04446,0.95923,1,0.14073,0.00637,0.00637,0.00637
13,6364.31,0.04668,0.97061,1,0.10455,0.00604,0.00604,0.00604
14,6853.71,0.04217,0.96619,1,0.11984,0.00571,0.00571,0.00571
15,7337.37,0.03518,0.96891,1,0.10183,0.00538,0.00538,0.00538
16,7816.76,0.03486,0.96959,1,0.11029,0.00505,0.00505,0.00505
17,8296.07,0.03496,0.97231,1,0.09467,0.00472,0.00472,0.00472
18,8780.92,0.02638,0.96704,1,0.10693,0.00439,0.00439,0.00439
19,9260.63,0.02639,0.97435,1,0.08658,0.00406,0.00406,0.00406
20,9737.57,0.02475,0.97214,1,0.10383,0.00373,0.00373,0.00373
21,10234.9,0.02381,0.97197,1,0.09774,0.0034,0.0034,0.0034
22,10728,0.02204,0.97316,1,0.09616,0.00307,0.00307,0.00307
23,11215.7,0.0203,0.9752,1,0.08741,0.00274,0.00274,0.00274
24,11700.7,0.01786,0.97367,1,0.08568,0.00241,0.00241,0.00241
25,12175.7,0.01905,0.97537,1,0.08594,0.00208,0.00208,0.00208
26,12652.6,0.01854,0.97367,1,0.09242,0.00175,0.00175,0.00175
27,13136.5,0.01494,0.97435,1,0.09504,0.00142,0.00142,0.00142
28,13619.2,0.01587,0.97418,1,0.08872,0.00109,0.00109,0.00109
29,14120,0.01436,0.97689,1,0.08295,0.00076,0.00076,0.00076
30,14614.2,0.01397,0.97723,1,0.08358,0.00043,0.00043,0.00043
