epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8246,2.66545,3.8247,2.78264,0.0002,0.09983,0.00021,5e-05,3.49207,4.86082,4.29325,0.0701167,0.00332036,0.00332036
2,76.0038,2.5505,3.84189,2.7377,0.00061,0.11814,0.00065,0.00016,3.18598,4.73378,3.92923,0.0401151,0.00665207,0.00665207
3,113.999,2.49588,3.82225,2.69932,0.0006,0.06313,0.00039,0.00011,3.30781,5.28228,4.05395,0.010107,0.00997727,0.00997727
4,151.197,2.43393,3.80956,2.64656,0.0007,0.14994,0.00084,0.00021,3.14766,4.87621,3.75832,0.00997803,0.00997803,0.00997803
5,189.315,2.40137,3.77439,2.62574,0.00166,0.12951,0.0013,0.00043,3.2013,5.04051,3.73545,0.00996097,0.00996097,0.00996097
6,227.628,2.3674,3.7613,2.58176,0.00053,0.14062,0.00074,0.0002,3.16178,4.78677,3.71745,0.00993906,0.00993906,0.00993906
7,265.905,2.33469,3.73555,2.56127,0.00137,0.14177,0.00132,0.00037,3.18708,4.89805,3.79425,0.00991232,0.00991232,0.00991232
8,304.668,2.32586,3.73679,2.54282,0.00067,0.1492,0.00115,0.00027,3.18777,4.75728,3.66305,0.00988079,0.00988079,0.00988079
9,343.363,2.31063,3.74617,2.55122,0.00125,0.14241,0.00143,0.00041,3.10666,4.85531,3.6535,0.00984449,0.00984449,0.00984449
10,381.982,2.30098,3.72129,2.54204,0.00075,0.14974,0.001,0.00024,3.10806,4.84342,3.67351,0.00980345,0.00980345,0.00980345
11,420.595,2.26665,3.71599,2.52575,0.00067,0.15653,0.00101,0.0003,3.0784,4.89362,3.64686,0.00975773,0.00975773,0.00975773
12,459.214,2.26364,3.71813,2.52725,0.00164,0.15395,0.00154,0.00037,3.06578,4.92176,3.74913,0.00970736,0.00970736,0.00970736
13,497.856,2.2643,3.6961,2.51112,0.00239,0.13652,0.00194,0.00086,3.08017,4.98372,3.71007,0.00965239,0.00965239,0.00965239
14,536.547,2.25214,3.70661,2.51015,0.00169,0.16687,0.00219,0.00058,3.10204,4.99204,3.83304,0.00959289,0.00959289,0.00959289
15,575.483,2.26493,3.71173,2.5122,0.00057,0.13171,0.00092,0.00024,3.08433,5.0273,3.65824,0.00952889,0.00952889,0.00952889
16,614.069,2.25467,3.70909,2.50368,0.00266,0.14677,0.00233,0.00063,3.03412,4.89632,3.66888,0.00946048,0.00946048,0.00946048
17,653.151,2.23145,3.69502,2.49117,0.00352,0.15291,0.00258,0.00089,3.06772,4.84029,3.61223,0.00938772,0.00938772,0.00938772
18,691.794,2.23061,3.69549,2.49093,0.00219,0.14703,0.00215,0.00065,3.04685,4.70052,3.67676,0.00931067,0.00931067,0.00931067
19,730.086,2.21992,3.68814,2.4884,0.00234,0.15595,0.00176,0.0005,3.06565,4.80993,3.63573,0.00922942,0.00922942,0.00922942
20,769.218,2.21291,3.6871,2.48786,0.002,0.15622,0.00185,0.0005,3.11177,4.73163,3.70658,0.00914405,0.00914405,0.00914405
21,807.778,2.21208,3.67159,2.47043,0.00172,0.15703,0.00193,0.0005,3.05928,4.81984,3.67257,0.00905463,0.00905463,0.00905463
22,846.515,2.21507,3.68396,2.47642,0.00336,0.14584,0.00259,0.00079,3.10738,4.80692,3.73219,0.00896127,0.00896127,0.00896127
23,885.525,2.21783,3.68958,2.48729,0.00179,0.1754,0.0021,0.0006,3.04404,4.80105,3.7175,0.00886404,0.00886404,0.00886404
24,924.161,2.20192,3.65059,2.46953,0.00177,0.16326,0.00197,0.00054,3.03166,4.78111,3.62705,0.00876305,0.00876305,0.00876305
25,963.183,2.19888,3.66692,2.46472,0.00321,0.15384,0.00292,0.00073,3.04243,4.78879,3.67904,0.00865839,0.00865839,0.00865839
26,1002.12,2.17277,3.65669,2.46059,0.002,0.14889,0.00183,0.00053,3.06416,4.85646,3.66672,0.00855018,0.00855018,0.00855018
27,1040.6,2.19229,3.66648,2.46105,0.00327,0.15855,0.00237,0.00061,3.07199,4.81283,3.72603,0.00843851,0.00843851,0.00843851
28,1079.38,2.1653,3.64553,2.4414,0.00177,0.16473,0.00186,0.00049,3.04286,4.92499,3.72825,0.00832349,0.00832349,0.00832349
29,1118.01,2.17548,3.64482,2.45332,0.00198,0.14133,0.00186,0.00048,3.02773,4.88453,3.68298,0.00820525,0.00820525,0.00820525
30,1156.57,2.17476,3.65148,2.44825,0.00197,0.15738,0.00186,0.0005,3.06302,4.83984,3.6966,0.00808389,0.00808389,0.00808389
